               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.041415,            0.061927,            0.087527,             0.95908,            0.016271,            0.023083,             0.01185,              0.0386,            0.042918,            0.076396,           0.0093813,           0.0093813,           0.0093813
                 127,            0.044136,            0.061114,             0.08527,             0.97753,            0.017629,            0.026152,            0.014712,             0.03257,            0.041084,            0.076054,           0.0093763,           0.0093763,           0.0093763
                 128,            0.042475,            0.064485,            0.088363,              0.9572,            0.016014,            0.027174,            0.016211,            0.032925,            0.039775,             0.07583,           0.0093714,           0.0093714,           0.0093714
                 129,            0.042015,            0.058969,            0.086299,             0.95125,            0.018195,            0.026448,            0.014677,            0.036428,            0.039407,            0.075514,           0.0093664,           0.0093664,           0.0093664
                 130,            0.040633,            0.062886,            0.088167,             0.94789,            0.015038,            0.024832,             0.01433,             0.03301,            0.041283,            0.075874,           0.0093615,           0.0093615,           0.0093615
                 131,            0.041597,            0.064036,            0.086907,              0.9538,            0.016963,            0.027266,            0.016109,            0.032641,            0.038844,            0.075219,           0.0093565,           0.0093565,           0.0093565
                 132,            0.040928,            0.059773,            0.087393,             0.95686,            0.016271,            0.027263,            0.015419,            0.034186,            0.038278,            0.075077,           0.0093516,           0.0093516,           0.0093516
                 133,            0.041996,            0.057928,            0.086802,             0.95447,             0.01583,            0.026418,            0.014052,            0.035841,            0.038644,            0.074966,           0.0093466,           0.0093466,           0.0093466
                 134,            0.042571,             0.05702,            0.086911,             0.96781,            0.013126,            0.024159,             0.01218,            0.039789,            0.039703,            0.074864,           0.0093416,           0.0093416,           0.0093416
                 135,            0.044153,            0.063078,            0.083077,             0.96915,            0.012756,            0.027196,            0.016178,            0.031904,            0.038336,            0.074502,           0.0093367,           0.0093367,           0.0093367
                 136,            0.041688,            0.062244,            0.085453,             0.96331,            0.017046,            0.025155,            0.014238,            0.034495,             0.03829,            0.074448,           0.0093317,           0.0093317,           0.0093317
                 137,            0.041354,            0.057197,            0.087204,             0.97714,            0.017269,            0.026632,             0.01454,            0.034903,            0.038284,            0.074151,           0.0093268,           0.0093268,           0.0093268
                 138,            0.040979,            0.057712,            0.085489,             0.97574,            0.015921,            0.024607,            0.010678,            0.041185,            0.041104,            0.074136,           0.0093219,           0.0093219,           0.0093219
                 139,            0.042649,            0.066063,            0.083792,             0.98028,            0.016634,            0.025567,            0.015596,            0.031945,              0.0394,            0.073831,           0.0093169,           0.0093169,           0.0093169
                 140,            0.041212,            0.065182,            0.084719,             0.97474,            0.015936,            0.024607,            0.015276,            0.030564,            0.038927,            0.073867,           0.0093119,           0.0093119,           0.0093119
                 141,            0.041822,            0.060644,            0.086911,             0.97818,            0.016672,            0.025721,            0.014551,            0.036187,             0.03932,            0.073564,            0.009307,            0.009307,            0.009307
                 142,            0.040412,            0.061419,            0.083723,             0.97187,            0.015718,            0.024011,            0.015062,            0.034047,            0.038324,            0.073317,            0.009302,            0.009302,            0.009302
                 143,             0.04438,            0.063001,            0.085887,             0.97576,            0.018454,            0.027475,            0.016121,            0.034037,             0.03862,            0.073133,           0.0092971,           0.0092971,           0.0092971
                 144,            0.042522,            0.060549,            0.086711,             0.97043,            0.018896,            0.029303,             0.01605,            0.034337,            0.038647,            0.072882,           0.0092922,           0.0092922,           0.0092922
                 145,            0.041428,            0.063366,            0.084973,             0.97074,             0.02101,            0.027562,            0.015883,            0.031435,            0.037784,            0.072784,           0.0092872,           0.0092872,           0.0092872
                 146,            0.038547,            0.057868,            0.083616,              0.9637,            0.018555,            0.024763,            0.012292,            0.036635,            0.039575,            0.072997,           0.0092823,           0.0092823,           0.0092823
                 147,            0.040311,            0.061278,            0.082931,             0.96242,            0.017217,            0.029924,            0.017659,            0.033021,            0.038069,            0.072633,           0.0092773,           0.0092773,           0.0092773
                 148,            0.040989,             0.05955,            0.083841,             0.96739,            0.017212,            0.033037,            0.018723,            0.031319,            0.038976,             0.07301,           0.0092724,           0.0092724,           0.0092724
                 149,            0.040599,             0.05885,            0.084537,             0.97988,             0.01636,             0.03188,            0.019559,            0.031064,            0.038335,            0.072677,           0.0092674,           0.0092674,           0.0092674
                 150,            0.036935,            0.057021,            0.084766,              0.9764,            0.016618,            0.028651,              0.0161,            0.033812,            0.038216,             0.07233,           0.0092625,           0.0092625,           0.0092625
                 151,            0.043484,             0.06243,            0.082499,             0.97407,            0.014872,            0.029724,            0.016521,            0.033649,            0.037997,            0.072341,           0.0092575,           0.0092575,           0.0092575
                 152,            0.041557,            0.060441,            0.081467,             0.96589,            0.020769,            0.031947,            0.020532,            0.032654,            0.037198,            0.072199,           0.0092526,           0.0092526,           0.0092526
